company_name,post_date,id,parent_id,comment_text,comment_date,comment_type,reaction_count
Delta,2025-02-27 08:00:00,Y29tbWVudDoxMDMxOTE0NzAyMjkwNzc1XzYwMTkwNjU5NjAyMjY5Mg==,,"Could not get service truck started for delta employee to change light bulb,, delayed us and made us miss our connection,, then could not get us out of Atlanta to Roatan, Honduras until the day we were to return.. terrible customer service in trying to get our flight expense reimbursed and our resort refunded. What a JOKE of an airline for a $5.00 light bulb !!!",2025-03-01,initial,19
Delta,2025-02-27 08:00:00,Y29tbWVudDoxMDMxOTE0NzAyMjkwNzc1Xzk0MjczNzA3MTM2NjU5Mw==,Y29tbWVudDoxMDMxOTE0NzAyMjkwNzc1XzYwMTkwNjU5NjAyMjY5Mg==,Kindly check your messages for quick response and assistance,2025-03-01,reply,1
Delta,2025-02-27 08:00:00,Y29tbWVudDoxMDMxOTE0NzAyMjkwNzc1XzEwNDA0MjIwNjQ3OTc2MDc=,Y29tbWVudDoxMDMxOTE0NzAyMjkwNzc1XzYwMTkwNjU5NjAyMjY5Mg==,Do you have the flight confirmation number.,2025-03-01,reply,1
Delta,2025-02-27 08:00:00,Y29tbWVudDoxMDMxOTE0NzAyMjkwNzc1XzMxNTcyNzc5MjEwNzcyMDU=,Y29tbWVudDoxMDMxOTE0NzAyMjkwNzc1XzYwMTkwNjU5NjAyMjY5Mg==,We sincerely apologise for the inconvenience caused.I have already responded to your direct message. Please check so we can continue our conversation there. -Thank you,2025-03-01,reply,1
Delta,2025-02-27 08:00:00,Y29tbWVudDoxMDMxOTE0NzAyMjkwNzc1XzkyMjI3MzQzMTEwOTY2NTE=,Y29tbWVudDoxMDMxOTE0NzAyMjkwNzc1XzYwMTkwNjU5NjAyMjY5Mg==,I've sent you a pm just check your inbox awaiting for your response,2025-03-01,reply,1
Delta,2025-02-27 08:00:00,Y29tbWVudDoxMDMxOTE0NzAyMjkwNzc1XzEwMDIxMDgzMjE4MjU0Mjc=,Y29tbWVudDoxMDMxOTE0NzAyMjkwNzc1XzYwMTkwNjU5NjAyMjY5Mg==,your reimbursement should be automatic. Go read the new FAA regulations on delays and cancellations.,2025-03-01,reply,2
Delta,2025-02-27 08:00:00,Y29tbWVudDoxMDMxOTE0NzAyMjkwNzc1XzYxMDY3ODg3NTIwMDA5MA==,Y29tbWVudDoxMDMxOTE0NzAyMjkwNzc1XzYwMTkwNjU5NjAyMjY5Mg==,"Be careful, those ""customer service"" might be fake account",2025-03-01,reply,0
Delta,2025-02-27 08:00:00,Y29tbWVudDoxMDMxOTE0NzAyMjkwNzc1XzYzMTU5MzY2NjEyNjg1MA==,,"Please explain why I have to continually reach out to Customer Service regarding a Skymiles issue as each time I contact, I’m assured the issue is being resolved??",2025-03-01,initial,31
Delta,2025-02-27 08:00:00,Y29tbWVudDoxMDMxOTE0NzAyMjkwNzc1XzExNjA3NTA0OTIxNjk4NzE=,Y29tbWVudDoxMDMxOTE0NzAyMjkwNzc1XzYzMTU5MzY2NjEyNjg1MA==,Jason Lloyd Do you have the Booking reference number,2025-03-01,reply,0
Delta,2025-02-27 08:00:00,Y29tbWVudDoxMDMxOTE0NzAyMjkwNzc1Xzk3MTA4NjQ4MTY2NDEzNA==,Y29tbWVudDoxMDMxOTE0NzAyMjkwNzc1XzYzMTU5MzY2NjEyNjg1MA==,Kindly provide us with your booking reference and further details about your experience via private messages for us to look into this.,2025-03-01,reply,0
Delta,2025-02-27 08:00:00,Y29tbWVudDoxMDMxOTE0NzAyMjkwNzc1XzU3OTA5NjAwODQ2MjQ5NQ==,Y29tbWVudDoxMDMxOTE0NzAyMjkwNzc1XzYzMTU5MzY2NjEyNjg1MA==,Jason Lloyd Do you have the reservation number,2025-03-01,reply,0
Delta,2025-02-27 08:00:00,Y29tbWVudDoxMDMxOTE0NzAyMjkwNzc1Xzk4MzM1NjQxNjU4NDY1NA==,Y29tbWVudDoxMDMxOTE0NzAyMjkwNzc1XzYzMTU5MzY2NjEyNjg1MA==,We sincerely apologise for the inconvenience caused.I have already responded to your direct message. Please check so we can continue our conversation there. -Thank you,2025-03-01,reply,0
Delta,2025-02-27 08:00:00,Y29tbWVudDoxMDMxOTE0NzAyMjkwNzc1XzE2NzUzMzk5NzMzODU0NTc=,Y29tbWVudDoxMDMxOTE0NzAyMjkwNzc1XzYzMTU5MzY2NjEyNjg1MA==,Enough with the fake “customer service” people chiming in. Blocking you IMMEDIATELY.,2025-03-01,reply,0
Delta,2025-02-27 08:00:00,Y29tbWVudDoxMDMxOTE0NzAyMjkwNzc1XzExNDY3MTc4MjM0MTc5NTU=,Y29tbWVudDoxMDMxOTE0NzAyMjkwNzc1XzE2NzUzMzk5NzMzODU0NTc=,NOT. Whose’s skymiles card do you have? Amex or Visa or Master Card. Complain to them directly.,2025-03-15,reply,0
Delta,2025-02-27 08:00:00,Y29tbWVudDoxMDMxOTE0NzAyMjkwNzc1XzE3Mzg3NTUxNjAzMTkyMzU=,Y29tbWVudDoxMDMxOTE0NzAyMjkwNzc1XzExNDY3MTc4MjM0MTc5NTU=,It’s not a credit card issue. It’s a Delta issue.,2025-03-15,reply,0
Delta,2025-02-27 08:00:00,Y29tbWVudDoxMDMxOTE0NzAyMjkwNzc1XzE5MDU1NjI2OTAyNDc0ODg=,Y29tbWVudDoxMDMxOTE0NzAyMjkwNzc1XzE3Mzg3NTUxNjAzMTkyMzU=,So sorry to hear that. I really hope you get it sorted. I have issue with my Delta skymiles from AMEX so I am writing to the AMEX CEO.,2025-03-15,reply,0
Delta,2025-02-27 08:00:00,Y29tbWVudDoxMDMxOTE0NzAyMjkwNzc1XzE0MTExODM3ODAyNDA4NzM=,Y29tbWVudDoxMDMxOTE0NzAyMjkwNzc1XzE3Mzg3NTUxNjAzMTkyMzU=,"there is an article in the NYTimes entitled “An airline bumped you from an overbooked flight. Here’s what to do.” Underneath there are other related articles that might help. Oh, and the comments are always encouraging and enlightening.",2025-03-15,reply,0
Delta,2025-02-27 08:00:00,Y29tbWVudDoxMDMxOTE0NzAyMjkwNzc1Xzk2MzY3Mjc3NTQ2NzI5Ng==,,Worst airline ever. Purposely lost my golf clubs on my golf vacation. Ruined it. Because of this happening I snapped my achilles tendon and needed surgery.,2025-03-01,initial,19
Delta,2025-02-27 08:00:00,Y29tbWVudDoxMDMxOTE0NzAyMjkwNzc1XzM5MzgyNTU3NDY0ODg3Mjg=,Y29tbWVudDoxMDMxOTE0NzAyMjkwNzc1Xzk2MzY3Mjc3NTQ2NzI5Ng==,"Hello, it's unfortunate for the challenge encountered. We would like to closely look at the concern raised. Please share with us your phone number to allow us",2025-03-01,reply,0
Delta,2025-02-27 08:00:00,Y29tbWVudDoxMDMxOTE0NzAyMjkwNzc1XzEyMDY2OTg2ODQxMjU3NDA=,,"Delta airline is ridiculous. My original flight was from South California to Canada, and later Delta airline changed my flight, issue me a new ticket that from Seattle to Canada",2025-03-01,initial,20
Delta,2025-02-27 08:00:00,Y29tbWVudDoxMDMxOTE0NzAyMjkwNzc1XzU1MzcxNzg1NzAxODM3Nw==,Y29tbWVudDoxMDMxOTE0NzAyMjkwNzc1XzEyMDY2OTg2ODQxMjU3NDA=,message to you or to Delta Air Lines?,2025-03-01,reply,0
Delta,2025-02-27 08:00:00,Y29tbWVudDoxMDMxOTE0NzAyMjkwNzc1XzE5OTY4ODIzMjQwNTA1OTA=,Y29tbWVudDoxMDMxOTE0NzAyMjkwNzc1XzU1MzcxNzg1NzAxODM3Nw==,"Hello,kindly inbox your issue for further assistance and privacy.-Thank you.",2025-03-01,reply,0
Delta,2025-02-27 08:00:00,Y29tbWVudDoxMDMxOTE0NzAyMjkwNzc1XzkyNDg0NjI2NjM5NjU1MA==,,"going to las vegas, 11:30 flight except it delayed because they are short one flight attendant. WOW that’s really bad",2025-03-01,initial,5
Delta,2025-02-27 08:00:00,Y29tbWVudDoxMDMxOTE0NzAyMjkwNzc1XzUzMTkzNTYxOTkzNDI0Mg==,Y29tbWVudDoxMDMxOTE0NzAyMjkwNzc1XzkyNDg0NjI2NjM5NjU1MA==,seriously this is pathetic. I understand if the plane had issues but this is Delta Air Lines mistake,2025-03-01,reply,2
Delta,2025-02-27 08:00:00,Y29tbWVudDoxMDMxOTE0NzAyMjkwNzc1XzU5ODAxOTA0MzA2MTkxNw==,Y29tbWVudDoxMDMxOTE0NzAyMjkwNzc1XzUzMTkzNTYxOTkzNDI0Mg==,so 12 went to 12:30 now wtf,2025-03-01,reply,0
Delta,2025-02-27 08:00:00,Y29tbWVudDoxMDMxOTE0NzAyMjkwNzc1XzYxNDQyNDQ4ODE4NDg3OQ==,Y29tbWVudDoxMDMxOTE0NzAyMjkwNzc1XzU5ODAxOTA0MzA2MTkxNw==,"If you're having any inconvenience with your flight, please reach out to me I'd be happy to help",2025-03-01,reply,0
Delta,2025-02-27 08:00:00,Y29tbWVudDoxMDMxOTE0NzAyMjkwNzc1XzE4ODY3NDUyMzIwNjY4NzM=,,Basic Economy travel shouldn’t mean treating your customers worse than Spirit/Frontier. Even Spirit/Frontier allows you to purchase a seat as do KLM and Air France who I also avoid because of Delta codeshares.,2025-03-01,initial,10
Delta,2025-02-27 08:00:00,Y29tbWVudDoxMDMxOTE0NzAyMjkwNzc1XzEzNjQzOTg3NjgwODIyNzM=,Y29tbWVudDoxMDMxOTE0NzAyMjkwNzc1XzE4ODY3NDUyMzIwNjY4NzM=,"Hello, it's unfortunate for the challenge encountered. We would like to closely look at the concern raised. Please share with us your phone number to allow us",2025-03-01,reply,0
Delta,2025-02-27 08:00:00,Y29tbWVudDoxMDMxOTE0NzAyMjkwNzc1XzE4NDQ4ODAwMzYzMjQ2MjM=,Y29tbWVudDoxMDMxOTE0NzAyMjkwNzc1XzE4ODY3NDUyMzIwNjY4NzM=,"you should see how employees an managers make fun and denigrate Basic Economy customers at the call centers. Yeah, they actually laugh at them and call them derogatory names.",2025-03-15,reply,0
Delta,2025-02-27 08:00:00,Y29tbWVudDoxMDMxOTE0NzAyMjkwNzc1XzYyNzIyMTIwOTg5MzA0Ng==,,"I've flown Delta One several times, but I'm definitely losing confidence in this company.",2025-03-01,initial,10
Delta,2025-02-27 08:00:00,Y29tbWVudDoxMDMxOTE0NzAyMjkwNzc1XzE4NjYzNTgwMTQxMDcwMjY=,Y29tbWVudDoxMDMxOTE0NzAyMjkwNzc1XzYyNzIyMTIwOTg5MzA0Ng==,We sincerely apologise for the inconvenience caused.I have already responded to your direct message. Please check so we can continue our conversation there. -Thank you,2025-03-01,reply,0
Delta,2025-02-27 08:00:00,Y29tbWVudDoxMDMxOTE0NzAyMjkwNzc1XzIwMTY2NTAzMDIxNTQ2NjU=,Y29tbWVudDoxMDMxOTE0NzAyMjkwNzc1XzYyNzIyMTIwOTg5MzA0Ng==,"Hi this is Ashley we apologize for the inconvenience. Please note that we have already escalated this matter to the relevant department, kindly share your whatsap number for assistance please",2025-03-01,reply,0
Delta,2025-02-27 08:00:00,Y29tbWVudDoxMDMxOTE0NzAyMjkwNzc1XzEwMDk2MDk5OTc3MzU4NjI=,Y29tbWVudDoxMDMxOTE0NzAyMjkwNzc1XzYyNzIyMTIwOTg5MzA0Ng==,but I think they are coming up again,2025-03-15,reply,0
Delta,2025-02-27 08:00:00,Y29tbWVudDoxMDMxOTE0NzAyMjkwNzc1XzE0MTA5MTAzODY5OTc0MTk=,,"While the bubbly is all well and good, it would just be nice to have flights without problems. A day ahead of my three flights to England you said my first flight was delayed by 2 hours. How is it ALREADY delayed? It’s the day before. The delay would make me miss my subsequent flights. I contacted customer service and was on the call for almost 4 hours. Then the agent was gone and I wasn’t sure if I was booked or not. So I checked the app and I have a new booking with a 7 hour layover in Seattle (thanks for that) and have been downgraded from premium to the back of the planes. I fly Delta Air Lines internationally twice a year, and they either lose my luggage or bump me off flights or leave me stranded in airports for 24 hours because they can’t get connections right. Today was just too much for me. This airline doesn’t care about its passengers, and doesn’t compensate them for the blunders they make or even honor the upgrades they pay for. I’ve been stupid to keep hoping my next experience with them will be a good one and that’s my own fault, but lesson learned this time. What a disappointing airline.",2025-03-08,initial,5
Delta,2025-02-27 08:00:00,Y29tbWVudDoxMDMxOTE0NzAyMjkwNzc1XzExNTk1NzMxMjU3NjA4MDE=,,I’d rather have lower airfare. Flying round trip to Bahamas is ridiculous . $1500.00,2025-03-01,initial,5
Delta,2025-02-27 08:00:00,Y29tbWVudDoxMDMxOTE0NzAyMjkwNzc1XzE2MDk0NTE5NjYzNzcyNjI=,,"I’ll be taking a little time out, driving my converted sprinter van and taking the Train for a while, probably at least two years.",2025-03-01,initial,4
Delta,2025-02-27 08:00:00,Y29tbWVudDoxMDMxOTE0NzAyMjkwNzc1XzEyOTc1MTE4NDEzMzMwNzY=,Y29tbWVudDoxMDMxOTE0NzAyMjkwNzc1XzE2MDk0NTE5NjYzNzcyNjI=,Customer satisfaction is our top priority and we're dedicated to ensure a positive experience for all our customer. Please share with us your number via DM as to allow us to understand the concerns better and work towards resolving them. Thank you.,2025-03-01,reply,1
Delta,2025-02-27 08:00:00,Y29tbWVudDoxMDMxOTE0NzAyMjkwNzc1XzExNTIzNjU3OTY1NjcxNjU=,Y29tbWVudDoxMDMxOTE0NzAyMjkwNzc1XzE2MDk0NTE5NjYzNzcyNjI=,"Done , happy to articulate my concerns.",2025-03-01,reply,1
Delta,2025-02-27 08:00:00,Y29tbWVudDoxMDMxOTE0NzAyMjkwNzc1XzM5ODE3MjM2MDg3MTAyMTU=,Y29tbWVudDoxMDMxOTE0NzAyMjkwNzc1XzExNTIzNjU3OTY1NjcxNjU=,Bill Hower AMEN!!!! MYSELF & ALL OF MY FRIENDS AS WELL!,2025-03-01,reply,0
Delta,2025-02-27 08:00:00,Y29tbWVudDoxMDMxOTE0NzAyMjkwNzc1XzY3NjAwNDY2NDgwODQwMQ==,,I am trying to use my Delta miles and yet there is never an opportunity. It doesn’t seem to matter when I try to book a flight the flights are always blacked out. I have just spent close to an hour with your AI and now with an agent who does not read. I just get the send message to send Corporate Customer Care a complaint. I think maybe I should send my comments to AMEX and let them know how little you care about their customers.,2025-03-15,initial,3
Delta,2025-02-27 08:00:00,Y29tbWVudDoxMDMxOTE0NzAyMjkwNzc1XzM5OTc0ODM0NDA0ODkwNDA=,,Stuck in Daytona FL. Can’t get until 6am tomorrow. Then a 9 HOUR layover. WTF? Yay burgers.,2025-03-15,initial,2
Delta,2025-02-27 08:00:00,Y29tbWVudDoxMDMxOTE0NzAyMjkwNzc1XzExNjcyMzkwMjUwNjUzNjA=,Y29tbWVudDoxMDMxOTE0NzAyMjkwNzc1XzM5OTc0ODM0NDA0ODkwNDA=,Where am I suppose to stay tonight?,2025-03-15,reply,1
